term,term_type,grid_raw,effect,lo,hi,log_effect,log_se,ci_label
temp,SurfaceTerm,-14.9666666666667,1.2088680078470122,1.1115981327858724,1.314649437862547,0.18968439102172852,0.0,pointwise confidence interval
temp,SurfaceTerm,-14.6666666666667,1.206515318462214,1.1078049076796563,1.3140212717895954,0.18773630261421204,0.0,pointwise confidence interval
temp,SurfaceTerm,-14.366666666666701,1.2043455793598998,1.1048563649829715,1.3127935182290302,0.1859363317489624,0.0,pointwise confidence interval
temp,SurfaceTerm,-14.0666666666667,1.2023829922935236,1.1029480606235493,1.3107823584542957,0.18430541455745697,0.0,pointwise confidence interval
temp,SurfaceTerm,-13.7666666666667,1.2006414775715484,1.102196331407762,1.3078794735453416,0.1828559786081314,0.0,pointwise confidence interval
temp,SurfaceTerm,-13.4666666666667,1.1991251936312581,1.1026376987268571,1.304055930303718,0.18159228563308716,0.0,pointwise confidence interval
temp,SurfaceTerm,-13.1666666666667,1.1978267424507274,1.1042309765128504,1.29935578284642,0.18050886690616608,0.0,pointwise confidence interval
temp,SurfaceTerm,-12.866666666666701,1.1967293528785228,1.1068649988047472,1.2938896302508192,0.1795922964811325,0.0,pointwise confidence interval
temp,SurfaceTerm,-12.5666666666667,1.1958069576994212,1.1103678823389658,1.2878202826527887,0.17882123589515686,0.0,pointwise confidence interval
temp,SurfaceTerm,-12.266666666666701,1.1950264412588472,1.1145196441642862,1.2813486086004573,0.17816831171512604,0.0,pointwise confidence interval
temp,SurfaceTerm,-11.9666666666667,1.1943508637603821,1.1190697269699503,1.2746962511688738,0.1776028275489807,0.0,pointwise confidence interval
temp,SurfaceTerm,-11.6666666666667,1.1937403084484277,1.123751549777286,1.268088061188408,0.17709149420261383,0.0,pointwise confidence interval
temp,SurfaceTerm,-11.366666666666701,1.193155898454661,1.1283035133711476,1.261735854888594,0.1766018122434616,0.0,pointwise confidence interval
temp,SurfaceTerm,-11.0666666666667,1.1925607212390508,1.132485731471603,1.2558225100056075,0.17610286176204681,0.0,pointwise confidence interval
temp,SurfaceTerm,-10.766666666666701,1.1919217217288252,1.1360984353279937,1.2504879388543957,0.1755668967962265,0.0,pointwise confidence interval
temp,SurfaceTerm,-10.4666666666667,1.191210569684123,1.1389985842086419,1.2458159658846808,0.17497007548809052,0.0,pointwise confidence interval
temp,SurfaceTerm,-10.1666666666667,1.1904044054833756,1.1411103101163766,1.241827924987996,0.17429308593273163,0.0,pointwise confidence interval
temp,SurfaceTerm,-9.8666666666667,1.1894847583758061,1.1424273105263079,1.2384805382116852,0.17352023720741272,0.0,pointwise confidence interval
temp,SurfaceTerm,-9.566666666666702,1.1884389645409805,1.1430052639443724,1.2356786245806615,0.17264065146446228,0.0,pointwise confidence interval
temp,SurfaceTerm,-9.266666666666701,1.1872577691845234,1.14294196259934,1.2332918526180159,0.17164625227451324,0.0,pointwise confidence interval
temp,SurfaceTerm,-8.9666666666667,1.185936241062753,1.1423555367064608,1.2311795432103305,0.17053253948688507,0.0,pointwise confidence interval
temp,SurfaceTerm,-8.6666666666667,1.1844716039324297,1.1413635964985405,1.2292077518735343,0.1692967712879181,0.0,pointwise confidence interval
temp,SurfaceTerm,-8.3666666666667,1.1828636867831703,1.1400699469478845,1.2272637352260929,0.16793835163116455,0.0,pointwise confidence interval
temp,SurfaceTerm,-8.066666666666702,1.1811140814500476,1.138558278802602,1.225260488963915,0.1664581298828125,0.0,pointwise confidence interval
temp,SurfaceTerm,-7.766666666666701,1.1792255144237307,1.136891274577289,1.2231361476364089,0.164857879281044,0.0,pointwise confidence interval
temp,SurfaceTerm,-7.4666666666667005,1.1772018885391393,1.1351138362129638,1.220850492848824,0.16314034163951874,0.0,pointwise confidence interval
temp,SurfaceTerm,-7.1666666666667,1.1750472016150486,1.1332547190510878,1.218380918968944,0.16130831837654114,0.0,pointwise confidence interval
temp,SurfaceTerm,-6.866666666666699,1.1727661184183706,1.1313325120902609,1.2157171775863895,0.15936516225337982,0.0,pointwise confidence interval
temp,SurfaceTerm,-6.566666666666702,1.1703640646573292,1.1293573825406296,1.2128596890736196,0.15731486678123474,0.0,pointwise confidence interval
temp,SurfaceTerm,-6.266666666666701,1.167846065804056,1.1273341840526447,1.2098137825565316,0.1551610827445984,0.0,pointwise confidence interval
temp,SurfaceTerm,-5.9666666666667005,1.1652178403637774,1.1252638169237337,1.2065904857883187,0.152908056974411,0.0,pointwise confidence interval
temp,SurfaceTerm,-5.6666666666667,1.1624849557349002,1.12314464474432,1.203203237119657,0.1505599170923233,0.0,pointwise confidence interval
temp,SurfaceTerm,-5.366666666666699,1.1596533088233427,1.1209736029617818,1.199667675591801,0.14812108874320984,0.0,pointwise confidence interval
temp,SurfaceTerm,-5.066666666666702,1.1567290999014554,1.1187462267901418,1.1960015404010138,0.14559628069400787,0.0,pointwise confidence interval
temp,SurfaceTerm,-4.766666666666701,1.1537188753625822,1.116457789824944,1.192223526494994,0.14299052953720093,0.0,pointwise confidence interval
temp,SurfaceTerm,-4.4666666666667005,1.150628300806318,1.1141017369261308,1.1883524122934004,0.14030814170837402,0.0,pointwise confidence interval
temp,SurfaceTerm,-4.1666666666667,1.1474647158431344,1.1116729226913553,1.184408873535662,0.13755491375923157,0.0,pointwise confidence interval
temp,SurfaceTerm,-3.866666666666699,1.1442346341273835,1.1091651630535817,1.180412928163142,0.13473597168922424,0.0,pointwise confidence interval
temp,SurfaceTerm,-3.566666666666702,1.1409447532436878,1.1065730489958754,1.1763840906260423,0.13185665011405945,0.0,pointwise confidence interval
temp,SurfaceTerm,-3.2666666666667012,1.1376022698793484,1.103892376055948,1.1723415728790718,0.12892277538776398,0.0,pointwise confidence interval
temp,SurfaceTerm,-2.9666666666667005,1.1342136852531208,1.1011199203466453,1.1683020714133288,0.12593962252140045,0.0,pointwise confidence interval
temp,SurfaceTerm,-2.6666666666667,1.1307861427387156,1.0982551095458417,1.164280766368272,0.12291309237480164,0.0,pointwise confidence interval
temp,SurfaceTerm,-2.366666666666699,1.127326641947683,1.0952998312008833,1.1602899237660493,0.11984902620315552,0.0,pointwise confidence interval
temp,SurfaceTerm,-2.066666666666702,1.1238411835314508,1.0922581799069233,1.156337420067662,0.11675244569778442,0.0,pointwise confidence interval
temp,SurfaceTerm,-1.7666666666667012,1.1203368853082913,1.0891384707664586,1.1524289796677498,0.11362943053245544,0.0,pointwise confidence interval
temp,SurfaceTerm,-1.4666666666667005,1.1168198322979561,1.0859514928188345,1.1485656091106045,0.11048521101474762,0.0,pointwise confidence interval
temp,SurfaceTerm,-1.1666666666666998,1.113296036324749,1.0827107200800554,1.1447453521146944,0.10732501745223999,0.0,pointwise confidence interval
temp,SurfaceTerm,-0.8666666666666991,1.1097710220729222,1.0794318621020325,1.140962912688567,0.10415370762348175,0.0,pointwise confidence interval
temp,SurfaceTerm,-0.566666666666702,1.106250393910772,1.0761325383968743,1.1372111616017397,0.10097627341747284,0.0,pointwise confidence interval
temp,SurfaceTerm,-0.26666666666670125,1.1027389627068056,1.072830854114966,1.1334808420241145,0.09779705107212067,0.0,pointwise confidence interval
temp,SurfaceTerm,0.033333333333299464,1.099241330948666,1.0695449127960168,1.1297622841353716,0.0946202427148819,0.0,pointwise confidence interval
